,date,positive,tested,death_total,death,severe,cases,recovery_total,certificate,recovery,Positive,Severe,Death,Cases,Recovery,l-tested,l-positive,l-severe,l-death,l-cases,l-recovery,Pm,Sm,Dm,Cm,Rm,Tm,t-7days,p-7days,c-7days,s-7days,d-7days,r-7days,P-7days,S-7days,D-7days,C-7days,R-7days,Pm-7days,Sm-7days,Dm-7days,Cm-7days,Rm-7Days,tl-7days,pl-7days,sl-7days,dl-7days,cl-7days,rl-7days
0,2020-01-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.273935694453817,0.0,0.0,62.190374555023126,8.607187693057426,4.1192395018731585,0.0,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196,0.007959882193743533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.273935694453817,0.0,0.0,62.190374555023126,8.607187693057426,0.007959882193743533,0.0,0.0,0.0,0.0,4.1192395018731585,0.0,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196
1,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.273935694453817,46.34723800686127,2.7380110230133266,62.190374555023126,8.607187693057426,4.1192395018731585,2.8351112499413875,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,10.273935694453817,23.173619003430634,1.3690055115066633,62.190374555023126,8.607187693057426,0.0039799410968717665,0.0,0.0,0.0,0.0,4.1192395018731585,1.4175556249706938,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196
2,2020-01-28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.273935694453817,0.0,0.0,62.190374555023126,8.607187693057426,4.1192395018731585,0.47712125471966244,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196,0.0238796465812306,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,10.273935694453817,15.449079335620423,0.9126703410044422,62.19037455502312,8.607187693057426,0.01061317625832471,0.0,0.0,0.0,0.0,4.1192395018731585,1.1040775015536834,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196
3,2020-01-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.273935694453817,0.0,0.0,62.190374555023126,8.607187693057426,4.1192395018731585,0.0,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196,0.007959882193743533,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,10.273935694453817,11.586809501715317,0.6845027557533316,62.190374555023126,8.607187693057426,0.009949852742179417,0.0,0.0,0.0,0.0,4.1192395018731585,0.8280581261652625,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196
4,2020-01-30,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.273935694453817,0.0,0.0,62.190374555023126,8.607187693057426,4.1192395018731585,0.47712125471966244,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196,0.0238796465812306,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,10.273935694453817,9.269447601372253,0.5476022046026653,62.190374555023126,8.607187693057426,0.012735811509989653,0.0,0.0,0.0,0.0,4.1192395018731585,0.7578707518761425,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196
5,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.273935694453817,46.34723800686127,2.7380110230133266,62.190374555023126,8.607187693057426,4.1192395018731585,2.8351112499413875,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,10.273935694453817,15.449079335620423,0.9126703410044422,62.19037455502312,8.607187693057426,0.01061317625832471,0.0,0.0,0.0,0.0,4.1192395018731585,1.1040775015536832,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196
6,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.273935694453817,46.34723800686127,2.7380110230133266,62.190374555023126,8.607187693057426,4.1192395018731585,2.8351112499413875,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,10.273935694453817,19.863102002940543,1.17343329557714,62.190374555023126,8.607187693057426,0.00909700822142118,0.0,0.0,0.0,0.0,4.1192395018731585,1.351368037037641,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196
7,2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.273935694453817,46.34723800686127,2.7380110230133266,62.190374555023126,8.607187693057426,4.1192395018731585,2.8351112499413875,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.273935694453817,26.484136003920725,1.5645777274361865,62.190374555023126,8.607187693057426,0.007959882193743533,0.0,0.0,0.0,0.0,4.1192395018731585,1.7563839298864108,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196
8,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.273935694453817,46.34723800686127,2.7380110230133266,62.190374555023126,8.607187693057426,4.1192395018731585,2.8351112499413875,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.273935694453817,26.484136003920725,1.5645777274361865,62.190374555023126,8.607187693057426,0.007959882193743533,0.0,0.0,0.0,0.0,4.1192395018731585,1.7563839298864106,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196
9,2020-02-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.273935694453817,0.0,0.0,62.190374555023126,8.607187693057426,4.1192395018731585,0.0,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196,0.007959882193743533,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,10.273935694453817,26.484136003920725,1.5645777274361865,62.190374555023126,8.607187693057426,0.005685630138388238,0.0,0.0,0.0,0.0,4.1192395018731585,1.6882237506407445,2.5177721282707854,1.2610036829089555,4.133335531134326,3.0516331595362196
