,date,count_first_or_mid_general,count_second_or_full_general,first,second,1st,2nd,1st_ratio,2nd_ratio
0,2021-04-12,4857.0,0.0,4857.0,0.0,0.003866114781501234,0.0,0.003866114781501234,0.0
1,2021-04-13,4324.0,0.0,9181.0,0.0,0.003441853060574704,0.0,0.007307967842075937,0.0
2,2021-04-14,5311.0,0.0,14492.0,0.0,0.00422749343309719,0.0,0.011535461275173128,0.0
3,2021-04-15,9490.0,0.0,23982.0,0.0,0.007553928201862613,0.0,0.01908938947703574,0.0
4,2021-04-16,12106.0,0.0,36088.0,0.0,0.009636233383745921,0.0,0.02872562286078166,0.0
5,2021-04-17,8876.0,0.0,44964.0,0.0,0.00706519143516676,0.0,0.03579081429594842,0.0
6,2021-04-18,9000.0,0.0,53964.0,0.0,0.007163893974369179,0.0,0.042954708270317596,0.0
7,2021-04-19,38071.0,0.0,92035.0,0.0,0.030304067499801003,0.0,0.0732587757701186,0.0
8,2021-04-20,57902.0,0.0,149937.0,0.0,0.0460893098782138,0.0,0.1193480856483324,0.0
9,2021-04-21,69527.0,0.0,219464.0,0.0,0.05534267292844066,0.0,0.17469075857677305,0.0
10,2021-04-22,67403.0,0.0,286867.0,0.0,0.053651993950489536,0.0,0.2283427525272626,0.0
11,2021-04-23,65041.0,0.0,351908.0,0.0,0.051771869776327306,0.0,0.2801146223035899,0.0
12,2021-04-24,43013.0,0.0,394921.0,0.0,0.034237841279949055,0.0,0.31435246358353897,0.0
13,2021-04-25,26420.0,0.0,421341.0,0.0,0.02103000875587041,0.0,0.3353824723394094,0.0
14,2021-04-26,69374.0,0.0,490715.0,0.0,0.055220886730876384,0.0,0.39060335907028576,0.0
15,2021-04-27,90675.0,0.0,581390.0,0.0,0.07217623179176948,0.0,0.4627795908620553,0.0
16,2021-04-28,99259.0,0.0,680649.0,0.0,0.07900899466687893,0.0,0.5417885855289342,0.0
17,2021-04-29,21841.0,0.0,702490.0,0.0,0.017385178699355252,0.0,0.5591737642282893,0.0
18,2021-04-30,76220.0,0.0,778710.0,0.0,0.06067022208071321,0.0,0.6198439863090026,0.0
19,2021-05-01,46340.0,0.0,825050.0,0.0,0.03688609408580753,0.0,0.6567300803948102,0.0
20,2021-05-02,25899.0,0.0,850949.0,0.0,0.020615298893576373,0.0,0.6773453792883865,0.0
21,2021-05-03,7442.0,871.0,858391.0,871.0,0.005923744328583937,0.0006933057390750617,0.6832691236169705,0.0006933057390750617
22,2021-05-04,8423.0,769.0,866814.0,1640.0,0.006704608771790177,0.0006121149406988777,0.6899737323887606,0.0013054206797739392
23,2021-05-05,9804.0,954.0,876618.0,2594.0,0.007803868502746159,0.000759372761283133,0.6977776008915069,0.0020647934410570725
24,2021-05-06,48072.0,8375.0,924690.0,10969.0,0.03826474568176391,0.006666401337260208,0.7360423465732707,0.00873119477831728
25,2021-05-07,49297.0,10752.0,973987.0,21721.0,0.039239831250497494,0.008558465334713047,0.7752821778237682,0.017289660113030327
26,2021-05-08,62561.0,7800.0,1036548.0,29521.0,0.04979781899227891,0.006208708111119955,0.8250799968160472,0.02349836822415028
27,2021-05-09,74375.0,8324.0,1110923.0,37845.0,0.059201623815967525,0.006625805938072117,0.8842816206320147,0.0301241741622224
28,2021-05-10,105060.0,29783.0,1215983.0,67628.0,0.08362652232746955,0.023706917137626363,0.9679081429594841,0.05383109129984876
29,2021-05-11,130085.0,45650.0,1346068.0,113278.0,0.10354612751731275,0.03633686221443923,1.071454270476797,0.09016795351428798
30,2021-05-12,160638.0,54616.0,1506706.0,167894.0,0.12786595558385735,0.043473692589349675,1.1993202260606544,0.13364164610363766
31,2021-05-13,157042.0,54307.0,1663748.0,222201.0,0.12500358194698719,0.043227732229563005,1.3243238080076416,0.17686937833320066
32,2021-05-14,135679.0,50979.0,1799427.0,273180.0,0.10799888561649287,0.04057868343548515,1.4323226936241342,0.2174480617686858
33,2021-05-15,137859.0,37025.0,1937286.0,310205.0,0.10973413993472896,0.02947146382233543,1.5420568335588634,0.24691952559102126
34,2021-05-16,186916.0,22546.0,2124202.0,332751.0,0.1487829340125766,0.01794635039401417,1.69083976757144,0.2648658759850354
35,2021-05-17,209474.0,55143.0,2333676.0,387894.0,0.1667388362652233,0.04389317838095996,1.8575786038366633,0.3087590543659954
36,2021-05-18,251165.0,70682.0,2584841.0,458576.0,0.19992438111915944,0.05626203932181804,2.0575029849558226,0.36502109368781344
37,2021-05-19,305570.0,75244.0,2890411.0,533820.0,0.24323012019422113,0.05989333757860384,2.300733105150044,0.4249144312664172
38,2021-05-20,319363.0,28026.0,3209774.0,561846.0,0.25420918570405154,0.022308365836185624,2.554942290854095,0.44722279710260293
39,2021-05-21,277348.0,62797.0,3487122.0,624643.0,0.22076574066703814,0.04998567221205126,2.7757080315211335,0.4972084693146542
40,2021-05-22,283062.0,46709.0,3770184.0,671352.0,0.22531401735254317,0.037179813738756666,3.0010220488736765,0.5343882830534108
41,2021-05-23,325026.0,25333.0,4095210.0,696685.0,0.25871686699036855,0.020164769561410494,3.259738915864045,0.5545530526148212
42,2021-05-24,443958.0,10524.0,4539168.0,707209.0,0.3533853378969991,0.008376980020695694,3.613124253761044,0.562930032635517
43,2021-05-25,513182.0,11212.0,5052350.0,718421.0,0.40848682639496936,0.00892461991562525,4.021611080156013,0.5718546525511422
44,2021-05-26,570133.0,12701.0,5622483.0,731122.0,0.45381915147655816,0.010109846374273661,4.475430231632572,0.5819644989254159
45,2021-05-27,549401.0,45405.0,6171884.0,776527.0,0.4373167237124891,0.03614184510069251,4.912746955345061,0.6181063440261084
46,2021-05-28,525044.0,46085.0,6696928.0,822612.0,0.4179288386531879,0.036683117089867066,5.330675793998249,0.6547894611159755
47,2021-05-29,471040.0,59631.0,7167968.0,882243.0,0.37494229085409536,0.04746557350951206,5.705618084852344,0.7022550346254876
48,2021-05-30,460548.0,65400.0,7628516.0,947643.0,0.36659078245641963,0.05205762954708271,6.072208867308764,0.7543126641725703
49,2021-05-31,530191.0,94485.0,8158707.0,1042128.0,0.4220257900183077,0.07520894690758577,6.494234657327072,0.829521611080156
50,2021-06-01,637393.0,110581.0,8796100.0,1152709.0,0.5073573191116771,0.08802117328663535,7.00159197643875,0.9175427843667914
51,2021-06-02,657297.0,138074.0,9453397.0,1290783.0,0.5232006686301043,0.10990527740189446,7.524792645068853,1.0274480617686859
52,2021-06-03,660697.0,135801.0,10114094.0,1426584.0,0.5259070285759772,0.10809599617925655,8.05069967364483,1.1355440579479423
53,2021-06-04,644287.0,115913.0,10758381.0,1542497.0,0.512844861896044,0.09226538247233941,8.563544535540874,1.227809440420282
