,date,Pm,Sm,Dm,Cm,Rm,1st_ratio,2nd_ratio,pm,sm,dm,cm,rm,1st-ratio,2nd-ratio,P,S,C,D,R,V1,V2,P7,S7,C7,D7,R7,V17,V27
19,2020-03-18,0.3104354055559978,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,0.6448377158415132,0.5731890807480117,0.0,5.087053091638604,0.0,12.762169474845818,6.854698900850745,2.0772041600299818,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,1.1024713206234824,1.3289666656321855,1.0863120576325607,1.5040028180815876,2.5540557103755837,0.6287896372346585,0.558131140087625
20,2020-03-19,0.3104354055559978,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,0.5015404456545103,0.6448377158415132,0.0,5.445296267106111,0.0716486350935014,12.762169474845818,6.854698900850745,1.615603235578875,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,1.2865122086838585,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.5540557103755837,0.6287896372346585,0.558131140087625
21,2020-03-20,0.4139138740746637,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,0.7881349860285161,0.6448377158415132,0.0716486350935014,6.161782618041126,0.0,12.762169474845818,6.854698900850745,1.9041038133608168,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,1.4828865515438359,1.3289666656321855,1.0863120576325607,1.5040028180815876,2.5540557103755837,0.6287896372346585,0.558131140087625
22,2020-03-21,0.2785958767810236,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,0.5015404456545103,0.6448377158415132,0.0716486350935014,6.591674428602135,0.0,12.762169474845818,6.854698900850745,1.8002436053593183,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,1.5326628724293472,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.5540557103755837,0.6287896372346585,0.558131140087625
23,2020-03-22,0.358194698718459,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,0.1432972701870029,0.6448377158415132,0.0,6.7349716987891375,0.0,12.762169474845818,6.854698900850745,0.4000541345242927,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,1.4567905365712916,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.5540557103755837,0.6287896372346585,0.558131140087625
24,2020-03-23,0.3104354055559978,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,1.1463781614960231,0.7881349860285161,0.0,7.7380525900981585,0.0,12.762169474845818,6.854698900850745,3.6928073956088556,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,1.9843344502296993,1.3289666656321855,1.0863120576325607,1.5040028180815876,2.5540557103755837,0.6287896372346585,0.558131140087625
25,2020-03-24,0.7084295152431744,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,1.2180267965895248,0.7881349860285161,0.0716486350935014,8.884430751594182,0.0,12.762169474845818,6.854698900850745,1.7193337803993483,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,1.8870500178373555,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.5540557103755837,0.6287896372346585,0.558131140087625
26,2020-03-25,0.7402690440181485,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,2.93759403883356,0.8597836211220176,0.0,11.75037615533424,0.0,12.762169474845818,6.854698900850745,3.9682789150393565,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,2.1572035542672663,1.3289666656321855,1.0863120576325607,1.5040028180815876,2.5540557103755837,0.6287896372346585,0.558131140087625
27,2020-03-26,0.7402690440181485,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,3.3674858493945687,1.074729526402522,0.0,14.902916099448303,0.0,12.762169474845818,6.854698900850745,4.549002658703652,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,2.576260614713663,1.3289666656321855,1.0863120576325607,1.5040028180815876,2.5540557103755837,0.6287896372346585,0.558131140087625
28,2020-03-27,0.7641486905993792,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,2.8659454037400587,1.074729526402522,0.0716486350935014,17.12402378734685,0.5731890807480117,12.762169474845818,6.854698900850745,3.7505075111652455,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,2.840032571542867,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.5540557103755837,0.6287896372346585,0.558131140087625
