,Date,Prefecture,Severe cases
167,2020/5/12,Aichi,4
168,2020/5/12,Mie,0
169,2020/5/12,Shiga,1
170,2020/5/12,Kyoto,3
171,2020/5/12,Osaka,50
172,2020/5/12,Hyogo,20
173,2020/5/12,Nara,0
174,2020/5/12,Wakayama,0
175,2020/5/12,Tottori,0
176,2020/5/12,Shimane,1
177,2020/5/12,Okayama,0
178,2020/5/12,Hiroshima,3
179,2020/5/12,Yamaguchi,0
180,2020/5/12,Tokushima,0
181,2020/5/12,Kagawa,0
182,2020/5/12,Ehime,0
183,2020/5/12,Kochi,0
184,2020/5/12,Fukuoka,11
185,2020/5/12,Saga,0
186,2020/5/12,Nagasaki,0
187,2020/5/12,Kumamoto,2
188,2020/5/12,Oita,0
189,2020/5/12,Miyazaki,0
190,2020/5/12,Kagoshima,0
191,2020/5/12,Okinawa,4
192,2020/5/13,ALL,245
193,2020/5/13,Hokkaido,19
194,2020/5/13,Aomori,0
195,2020/5/13,Iwate,0
196,2020/5/13,Miyagi,0
197,2020/5/13,Akita,0
198,2020/5/13,Yamagata,2
199,2020/5/13,Fukushima,2
200,2020/5/13,Ibaraki,2
201,2020/5/13,Tochigi,5
202,2020/5/13,Gunma,2
203,2020/5/13,Saitama,9
204,2020/5/13,Chiba,11
205,2020/5/13,Tokyo,52
206,2020/5/13,Kanagawa,34
207,2020/5/13,Niigata,0
208,2020/5/13,Toyama,2
209,2020/5/13,Ishikawa,3
210,2020/5/13,Fukui,2
211,2020/5/13,Yamanashi,1
212,2020/5/13,Nagano,2
213,2020/5/13,Gifu,1
214,2020/5/13,Shizuoka,2
215,2020/5/13,Aichi,4
216,2020/5/13,Mie,0
217,2020/5/13,Shiga,1
218,2020/5/13,Kyoto,3
219,2020/5/13,Osaka,45
220,2020/5/13,Hyogo,21
221,2020/5/13,Nara,0
222,2020/5/13,Wakayama,0
223,2020/5/13,Tottori,0
224,2020/5/13,Shimane,1
225,2020/5/13,Okayama,0
226,2020/5/13,Hiroshima,1
227,2020/5/13,Yamaguchi,1
228,2020/5/13,Tokushima,0
229,2020/5/13,Kagawa,0
230,2020/5/13,Ehime,0
231,2020/5/13,Kochi,0
232,2020/5/13,Fukuoka,11
233,2020/5/13,Saga,0
234,2020/5/13,Nagasaki,0
235,2020/5/13,Kumamoto,2
236,2020/5/13,Oita,0
237,2020/5/13,Miyazaki,0
238,2020/5/13,Kagoshima,0
239,2020/5/13,Okinawa,4
240,2020/5/14,ALL,237
241,2020/5/14,Hokkaido,18
242,2020/5/14,Aomori,0
243,2020/5/14,Iwate,0
244,2020/5/14,Miyagi,0
245,2020/5/14,Akita,0
246,2020/5/14,Yamagata,2
247,2020/5/14,Fukushima,2
248,2020/5/14,Ibaraki,2
249,2020/5/14,Tochigi,5
250,2020/5/14,Gunma,1
251,2020/5/14,Saitama,8
252,2020/5/14,Chiba,13
253,2020/5/14,Tokyo,54
254,2020/5/14,Kanagawa,34
255,2020/5/14,Niigata,0
256,2020/5/14,Toyama,2
257,2020/5/14,Ishikawa,3
258,2020/5/14,Fukui,2
259,2020/5/14,Yamanashi,1
260,2020/5/14,Nagano,2
261,2020/5/14,Gifu,1
262,2020/5/14,Shizuoka,2
263,2020/5/14,Aichi,4
264,2020/5/14,Mie,0
265,2020/5/14,Shiga,1
266,2020/5/14,Kyoto,1
267,2020/5/14,Osaka,43
268,2020/5/14,Hyogo,18
269,2020/5/14,Nara,0
270,2020/5/14,Wakayama,0
271,2020/5/14,Tottori,0
272,2020/5/14,Shimane,1
