,Date,Prefecture,Deaths(Cumulative)
166,2020/5/12,Shizuoka,1
167,2020/5/12,Aichi,34
168,2020/5/12,Mie,1
169,2020/5/12,Shiga,1
170,2020/5/12,Kyoto,13
171,2020/5/12,Osaka,61
172,2020/5/12,Hyogo,34
173,2020/5/12,Nara,2
174,2020/5/12,Wakayama,3
175,2020/5/12,Tottori,0
176,2020/5/12,Shimane,0
177,2020/5/12,Okayama,0
178,2020/5/12,Hiroshima,2
179,2020/5/12,Yamaguchi,0
180,2020/5/12,Tokushima,1
181,2020/5/12,Kagawa,0
182,2020/5/12,Ehime,3
183,2020/5/12,Kochi,3
184,2020/5/12,Fukuoka,24
185,2020/5/12,Saga,0
186,2020/5/12,Nagasaki,1
187,2020/5/12,Kumamoto,3
188,2020/5/12,Oita,1
189,2020/5/12,Miyazaki,0
190,2020/5/12,Kagoshima,0
191,2020/5/12,Okinawa,6
192,2020/5/13,ALL,687
193,2020/5/13,Hokkaido,68
194,2020/5/13,Aomori,0
195,2020/5/13,Iwate,0
196,2020/5/13,Miyagi,1
197,2020/5/13,Akita,0
198,2020/5/13,Yamagata,0
199,2020/5/13,Fukushima,0
200,2020/5/13,Ibaraki,9
201,2020/5/13,Tochigi,0
202,2020/5/13,Gunma,18
203,2020/5/13,Saitama,44
204,2020/5/13,Chiba,40
205,2020/5/13,Tokyo,203
206,2020/5/13,Kanagawa,59
207,2020/5/13,Niigata,0
208,2020/5/13,Toyama,16
209,2020/5/13,Ishikawa,19
210,2020/5/13,Fukui,8
211,2020/5/13,Yamanashi,0
212,2020/5/13,Nagano,0
213,2020/5/13,Gifu,6
214,2020/5/13,Shizuoka,1
215,2020/5/13,Aichi,34
216,2020/5/13,Mie,1
217,2020/5/13,Shiga,1
218,2020/5/13,Kyoto,13
219,2020/5/13,Osaka,62
220,2020/5/13,Hyogo,35
221,2020/5/13,Nara,2
222,2020/5/13,Wakayama,3
223,2020/5/13,Tottori,0
224,2020/5/13,Shimane,0
225,2020/5/13,Okayama,0
226,2020/5/13,Hiroshima,2
227,2020/5/13,Yamaguchi,0
228,2020/5/13,Tokushima,1
229,2020/5/13,Kagawa,0
230,2020/5/13,Ehime,3
231,2020/5/13,Kochi,3
232,2020/5/13,Fukuoka,24
233,2020/5/13,Saga,0
234,2020/5/13,Nagasaki,1
235,2020/5/13,Kumamoto,3
236,2020/5/13,Oita,1
237,2020/5/13,Miyazaki,0
238,2020/5/13,Kagoshima,0
239,2020/5/13,Okinawa,6
240,2020/5/14,ALL,710
241,2020/5/14,Hokkaido,70
242,2020/5/14,Aomori,0
243,2020/5/14,Iwate,0
244,2020/5/14,Miyagi,1
245,2020/5/14,Akita,0
246,2020/5/14,Yamagata,0
247,2020/5/14,Fukushima,0
248,2020/5/14,Ibaraki,9
249,2020/5/14,Tochigi,0
250,2020/5/14,Gunma,18
251,2020/5/14,Saitama,45
252,2020/5/14,Chiba,40
253,2020/5/14,Tokyo,212
254,2020/5/14,Kanagawa,62
255,2020/5/14,Niigata,0
256,2020/5/14,Toyama,18
257,2020/5/14,Ishikawa,20
258,2020/5/14,Fukui,8
259,2020/5/14,Yamanashi,0
260,2020/5/14,Nagano,0
261,2020/5/14,Gifu,7
262,2020/5/14,Shizuoka,1
263,2020/5/14,Aichi,34
264,2020/5/14,Mie,1
265,2020/5/14,Shiga,1
266,2020/5/14,Kyoto,13
267,2020/5/14,Osaka,63
268,2020/5/14,Hyogo,37
269,2020/5/14,Nara,2
270,2020/5/14,Wakayama,3
271,2020/5/14,Tottori,0
272,2020/5/14,Shimane,0
273,2020/5/14,Okayama,0
