,date,tested
203,2020/08/29,12915.0
204,2020/08/30,9577.0
205,2020/08/31,21529.0
206,2020/09/01,18131.0
207,2020/09/02,24123.0
208,2020/09/03,22991.0
209,2020/09/04,15457.0
210,2020/09/05,11930.0
211,2020/09/06,4175.0
212,2020/09/07,24012.0
213,2020/09/08,14637.0
214,2020/09/09,23072.0
215,2020/09/10,22306.0
216,2020/09/11,16479.0
217,2020/09/12,10545.0
218,2020/09/13,472.0
219,2020/09/14,25446.0
220,2020/09/15,20163.0
221,2020/09/16,18314.0
222,2020/09/17,23313.0
223,2020/09/18,17605.0
224,2020/09/19,9530.0
225,2020/09/20,6153.0
226,2020/09/21,2778.0
227,2020/09/22,3386.0
228,2020/09/23,26925.0
229,2020/09/24,19021.0
230,2020/09/25,28526.0
231,2020/09/26,10522.0
232,2020/09/27,4550.0
233,2020/09/28,19750.0
234,2020/09/29,103676.0
235,2020/09/30,19462.0
236,2020/10/01,17671.0
237,2020/10/02,21860.0
238,2020/10/03,13684.0
239,2020/10/04,4928.0
240,2020/10/05,21865.0
241,2020/10/06,20435.0
242,2020/10/07,21401.0
243,2020/10/08,21397.0
244,2020/10/09,19697.0
245,2020/10/10,10803.0
246,2020/10/11,5077.0
247,2020/10/12,23235.0
248,2020/10/13,19828.0
249,2020/10/14,21837.0
250,2020/10/15,20737.0
251,2020/10/16,20701.0
252,2020/10/17,9896.0
253,2020/10/18,5123.0
254,2020/10/19,21920.0
255,2020/10/20,15486.0
256,2020/10/21,22144.0
257,2020/10/22,23418.0
258,2020/10/23,22880.0
259,2020/10/24,13211.0
260,2020/10/25,5427.0
261,2020/10/26,22602.0
262,2020/10/27,25714.0
263,2020/10/28,23064.0
264,2020/10/29,20504.0
265,2020/10/30,21782.0
266,2020/10/31,11398.0
267,2020/11/01,6214.0
268,2020/11/02,21535.0
269,2020/11/03,7477.0
270,2020/11/04,21840.0
271,2020/11/05,29533.0
272,2020/11/06,28237.0
273,2020/11/07,13460.0
274,2020/11/08,8004.0
275,2020/11/09,25476.0
276,2020/11/10,25179.0
277,2020/11/11,33681.0
278,2020/11/12,29912.0
279,2020/11/13,24038.0
280,2020/11/14,16651.0
281,2020/11/15,9127.0
282,2020/11/16,30109.0
283,2020/11/17,27634.0
284,2020/11/18,34630.0
285,2020/11/19,37810.0
286,2020/11/20,41770.0
287,2020/11/21,24924.0
288,2020/11/22,20389.0
289,2020/11/23,9560.0
290,2020/11/24,43773.0
291,2020/11/25,41052.0
292,2020/11/26,42634.0
293,2020/11/27,43351.0
294,2020/11/28,22307.0
