,Date,Prefecture,Requiring inpatient care,Discharged from hospital or released from treatment,To be confirmed
6804,2020/9/30,Tokushima,9,126,4
6805,2020/9/30,Kagawa,3,88,0
6806,2020/9/30,Ehime,0,108,0
6807,2020/9/30,Kochi,1,133,0
6808,2020/9/30,Fukuoka,93,4842,0
6809,2020/9/30,Saga,1,246,2
6810,2020/9/30,Kumamoto,7,559,0
6811,2020/9/30,Oita,3,153,0
6812,2020/9/30,Miyazaki,1,343,1
6813,2020/9/30,Kagoshima,34,378,9
6814,2020/9/30,Okinawa,193,2251,4
6815,2020/10/1,ALL,5326,76327,52
6816,2020/10/1,Hokkaido,138,1862,0
6817,2020/10/1,Aomori,1,34,0
6818,2020/10/1,Iwate,0,23,0
6819,2020/10/1,Miyagi,37,367,0
6820,2020/10/1,Akita,0,53,0
6821,2020/10/1,Yamagata,2,76,1
6822,2020/10/1,Fukushima,36,214,0
6823,2020/10/1,Ibaraki,36,606,0
6824,2020/10/1,Tochigi,47,383,1
6825,2020/10/1,Gunma,38,644,5
6826,2020/10/1,Saitama,285,4298,0
6827,2020/10/1,Chiba,283,3580,0
6828,2020/10/1,Tokyo,2134,23430,0
6829,2020/10/1,Kanagawa,509,6328,0
6830,2020/10/1,Niigata,8,162,0
6831,2020/10/1,Toyama,10,383,0
6832,2020/10/1,Ishikawa,45,691,-6
6833,2020/10/1,Fukui,1,230,2
6834,2020/10/1,Yamanashi,12,172,0
6835,2020/10/1,Nagano,8,307,6
6836,2020/10/1,Gifu,29,588,0
6837,2020/10/1,Shizuoka,28,518,0
6838,2020/10/1,Aichi,353,4924,0
6839,2020/10/1,Mie,84,418,0
6840,2020/10/1,Shiga,27,468,0
6841,2020/10/1,Kyoto,68,1669,0
6842,2020/10/1,Osaka,513,9939,8
6843,2020/10/1,Hyogo,107,2551,0
6844,2020/10/1,Nara,17,548,0
6845,2020/10/1,Wakayama,6,229,3
6846,2020/10/1,Tottori,5,31,0
6847,2020/10/1,Shimane,1,139,0
6848,2020/10/1,Okayama,8,149,0
6849,2020/10/1,Hiroshima,85,479,10
6850,2020/10/1,Yamaguchi,8,191,0
6851,2020/10/1,Tokushima,8,128,3
6852,2020/10/1,Kagawa,3,88,0
6853,2020/10/1,Ehime,0,108,0
6854,2020/10/1,Kochi,1,133,0
6855,2020/10/1,Fukuoka,87,4855,0
6856,2020/10/1,Saga,1,246,2
6857,2020/10/1,Kumamoto,8,559,3
6858,2020/10/1,Oita,3,153,0
6859,2020/10/1,Miyazaki,1,343,1
6860,2020/10/1,Kagoshima,38,379,7
6861,2020/10/1,Okinawa,204,2270,4
6862,2020/10/2,ALL,5281,76913,44
6863,2020/10/2,Hokkaido,138,1881,0
6864,2020/10/2,Aomori,2,34,0
6865,2020/10/2,Iwate,0,23,0
6866,2020/10/2,Miyagi,41,370,0
6867,2020/10/2,Akita,0,53,0
6868,2020/10/2,Yamagata,1,77,1
6869,2020/10/2,Fukushima,42,218,0
6870,2020/10/2,Ibaraki,44,606,0
6871,2020/10/2,Tochigi,38,394,0
6872,2020/10/2,Gunma,40,660,0
6873,2020/10/2,Saitama,279,4334,0
6874,2020/10/2,Chiba,292,3604,0
6875,2020/10/2,Tokyo,2051,23709,0
6876,2020/10/2,Kanagawa,526,6374,0
6877,2020/10/2,Niigata,6,164,0
6878,2020/10/2,Toyama,11,384,0
6879,2020/10/2,Ishikawa,44,692,-6
6880,2020/10/2,Fukui,1,230,2
6881,2020/10/2,Yamanashi,14,173,0
6882,2020/10/2,Nagano,9,307,6
6883,2020/10/2,Gifu,24,593,0
6884,2020/10/2,Shizuoka,29,520,0
6885,2020/10/2,Aichi,346,4952,0
6886,2020/10/2,Mie,95,420,1
6887,2020/10/2,Shiga,25,470,0
6888,2020/10/2,Kyoto,67,1674,0
6889,2020/10/2,Osaka,488,10008,8
6890,2020/10/2,Hyogo,114,2565,0
6891,2020/10/2,Nara,17,549,0
6892,2020/10/2,Wakayama,4,231,3
6893,2020/10/2,Tottori,5,31,0
6894,2020/10/2,Shimane,1,139,0
6895,2020/10/2,Okayama,8,149,0
6896,2020/10/2,Hiroshima,94,482,8
6897,2020/10/2,Yamaguchi,7,192,0
6898,2020/10/2,Tokushima,7,129,3
6899,2020/10/2,Kagawa,3,88,0
6900,2020/10/2,Ehime,0,108,0
6901,2020/10/2,Kochi,1,133,0
6902,2020/10/2,Fukuoka,86,4859,1
6903,2020/10/2,Saga,1,246,2
6904,2020/10/2,Kumamoto,11,559,1
6905,2020/10/2,Oita,3,153,0
6906,2020/10/2,Miyazaki,1,343,1
6907,2020/10/2,Kagoshima,38,379,7
6908,2020/10/2,Okinawa,226,2273,4
6909,2020/10/3,ALL,5319,77414,55
6910,2020/10/3,Hokkaido,135,1899,0
6911,2020/10/3,Aomori,2,34,0
6912,2020/10/3,Iwate,0,23,0
6913,2020/10/3,Miyagi,44,372,0
6914,2020/10/3,Akita,0,53,0
6915,2020/10/3,Yamagata,1,77,1
6916,2020/10/3,Fukushima,39,221,0
6917,2020/10/3,Ibaraki,45,609,0
6918,2020/10/3,Tochigi,38,396,0
6919,2020/10/3,Gunma,42,664,0
6920,2020/10/3,Saitama,316,4347,0
6921,2020/10/3,Chiba,309,3629,0
6922,2020/10/3,Tokyo,2067,23898,0
6923,2020/10/3,Kanagawa,526,6430,0
6924,2020/10/3,Niigata,6,164,0
6925,2020/10/3,Toyama,11,385,0
6926,2020/10/3,Ishikawa,41,694,-5
6927,2020/10/3,Fukui,0,231,2
6928,2020/10/3,Yamanashi,14,173,0
6929,2020/10/3,Nagano,10,307,6
6930,2020/10/3,Gifu,24,593,0
6931,2020/10/3,Shizuoka,29,520,0
6932,2020/10/3,Aichi,333,4984,0
6933,2020/10/3,Mie,69,449,0
6934,2020/10/3,Shiga,20,475,0
6935,2020/10/3,Kyoto,67,1674,0
6936,2020/10/3,Osaka,498,10047,8
6937,2020/10/3,Hyogo,129,2579,0
6938,2020/10/3,Nara,22,549,0
6939,2020/10/3,Wakayama,4,231,3
6940,2020/10/3,Tottori,5,31,0
6941,2020/10/3,Shimane,1,140,1
6942,2020/10/3,Okayama,8,149,1
6943,2020/10/3,Hiroshima,97,486,11
6944,2020/10/3,Yamaguchi,6,193,0
6945,2020/10/3,Tokushima,7,129,3
6946,2020/10/3,Kagawa,3,88,0
6947,2020/10/3,Ehime,0,108,0
6948,2020/10/3,Kochi,1,133,0
6949,2020/10/3,Fukuoka,74,4881,0
6950,2020/10/3,Saga,2,246,2
6951,2020/10/3,Kumamoto,13,559,8
6952,2020/10/3,Oita,2,154,0
6953,2020/10/3,Miyazaki,1,343,1
6954,2020/10/3,Kagoshima,38,379,7
6955,2020/10/3,Okinawa,219,2307,4
6956,2020/10/4,ALL,5406,77698,65
6957,2020/10/4,Hokkaido,136,1916,0
6958,2020/10/4,Aomori,2,34,0
6959,2020/10/4,Iwate,1,23,1
6960,2020/10/4,Miyagi,47,376,0
6961,2020/10/4,Akita,0,53,5
6962,2020/10/4,Yamagata,1,77,1
6963,2020/10/4,Fukushima,42,221,0
6964,2020/10/4,Ibaraki,46,613,0
6965,2020/10/4,Tochigi,38,396,2
6966,2020/10/4,Gunma,42,664,3
6967,2020/10/4,Saitama,334,4364,0
6968,2020/10/4,Chiba,329,3646,0
6969,2020/10/4,Tokyo,2110,23963,0
6970,2020/10/4,Kanagawa,526,6467,0
6971,2020/10/4,Niigata,4,166,0
6972,2020/10/4,Toyama,11,385,0
6973,2020/10/4,Ishikawa,39,696,-5
6974,2020/10/4,Fukui,0,231,2
6975,2020/10/4,Yamanashi,14,173,0
6976,2020/10/4,Nagano,11,307,6
6977,2020/10/4,Gifu,25,595,0
6978,2020/10/4,Shizuoka,29,520,0
6979,2020/10/4,Aichi,309,5024,0
6980,2020/10/4,Mie,60,460,0
6981,2020/10/4,Shiga,22,475,0
6982,2020/10/4,Kyoto,67,1674,0
6983,2020/10/4,Osaka,511,10072,8
6984,2020/10/4,Hyogo,123,2601,0
6985,2020/10/4,Nara,22,550,0
6986,2020/10/4,Wakayama,4,231,3
6987,2020/10/4,Tottori,5,31,0
6988,2020/10/4,Shimane,1,140,1
6989,2020/10/4,Okayama,8,149,1
6990,2020/10/4,Hiroshima,106,491,3
6991,2020/10/4,Yamaguchi,6,193,0
6992,2020/10/4,Tokushima,7,131,2
6993,2020/10/4,Kagawa,3,88,0
6994,2020/10/4,Ehime,1,108,0
6995,2020/10/4,Kochi,1,133,0
6996,2020/10/4,Fukuoka,74,4881,0
6997,2020/10/4,Saga,2,246,2
6998,2020/10/4,Kumamoto,17,560,22
6999,2020/10/4,Oita,2,154,0
7000,2020/10/4,Miyazaki,1,343,1
7001,2020/10/4,Kagoshima,38,379,1
7002,2020/10/4,Okinawa,228,2317,4
7003,2020/10/5,ALL,5260,78148,75
7004,2020/10/5,Hokkaido,148,1926,0
7005,2020/10/5,Aomori,2,34,0
7006,2020/10/5,Iwate,1,23,0
7007,2020/10/5,Miyagi,49,377,0
7008,2020/10/5,Akita,5,53,0
7009,2020/10/5,Yamagata,1,77,1
7010,2020/10/5,Fukushima,43,222,0
7011,2020/10/5,Ibaraki,44,616,0
7012,2020/10/5,Tochigi,33,406,2
7013,2020/10/5,Gunma,42,667,0
7014,2020/10/5,Saitama,332,4386,0
7015,2020/10/5,Chiba,316,3681,0
7016,2020/10/5,Tokyo,1985,24152,0
7017,2020/10/5,Kanagawa,515,6489,0
7018,2020/10/5,Niigata,4,166,0
7019,2020/10/5,Toyama,11,385,0
7020,2020/10/5,Ishikawa,32,701,-2
7021,2020/10/5,Fukui,0,231,2
7022,2020/10/5,Yamanashi,21,173,6
7023,2020/10/5,Nagano,11,307,6
7024,2020/10/5,Gifu,19,601,0
7025,2020/10/5,Shizuoka,32,524,0
7026,2020/10/5,Aichi,317,5034,0
7027,2020/10/5,Mie,62,461,0
7028,2020/10/5,Shiga,21,477,0
7029,2020/10/5,Kyoto,71,1690,0
7030,2020/10/5,Osaka,477,10136,8
7031,2020/10/5,Hyogo,126,2612,0
7032,2020/10/5,Nara,22,550,0
7033,2020/10/5,Wakayama,3,232,3
7034,2020/10/5,Tottori,5,31,0
7035,2020/10/5,Shimane,0,140,0
7036,2020/10/5,Okayama,8,149,4
7037,2020/10/5,Hiroshima,105,494,2
7038,2020/10/5,Yamaguchi,6,193,0
7039,2020/10/5,Tokushima,6,131,3
7040,2020/10/5,Kagawa,3,88,0
7041,2020/10/5,Ehime,1,108,0
7042,2020/10/5,Kochi,0,134,0
7043,2020/10/5,Fukuoka,75,4883,0
7044,2020/10/5,Saga,1,247,2
7045,2020/10/5,Kumamoto,31,560,27
7046,2020/10/5,Oita,2,154,0
7047,2020/10/5,Miyazaki,1,343,1
7048,2020/10/5,Kagoshima,25,403,5
7049,2020/10/5,Okinawa,245,2319,4
7050,2020/10/6,ALL,5131,78750,64
7051,2020/10/6,Hokkaido,173,1937,0
7052,2020/10/6,Aomori,2,34,0
7053,2020/10/6,Iwate,1,23,0
7054,2020/10/6,Miyagi,43,388,0
7055,2020/10/6,Akita,5,53,0
7056,2020/10/6,Yamagata,1,76,0
7057,2020/10/6,Fukushima,46,222,0
7058,2020/10/6,Ibaraki,47,617,0
7059,2020/10/6,Tochigi,29,409,3
7060,2020/10/6,Gunma,38,671,5
7061,2020/10/6,Saitama,314,4424,0
7062,2020/10/6,Chiba,324,3714,0
7063,2020/10/6,Tokyo,1934,24379,0
7064,2020/10/6,Kanagawa,515,6553,0
7065,2020/10/6,Niigata,2,168,0
7066,2020/10/6,Toyama,10,386,0
7067,2020/10/6,Ishikawa,28,704,-1
7068,2020/10/6,Fukui,2,231,2
7069,2020/10/6,Yamanashi,13,176,0
7070,2020/10/6,Nagano,8,301,3
7071,2020/10/6,Gifu,17,604,0
7072,2020/10/6,Shizuoka,30,526,0
7073,2020/10/6,Aichi,303,5060,0
7074,2020/10/6,Mie,57,466,0
7075,2020/10/6,Shiga,17,482,0
7076,2020/10/6,Kyoto,66,1699,0
7077,2020/10/6,Osaka,453,10217,9
7078,2020/10/6,Hyogo,118,2627,0
7079,2020/10/6,Nara,19,553,0
7080,2020/10/6,Wakayama,3,232,3
7081,2020/10/6,Tottori,5,31,0
7082,2020/10/6,Shimane,0,140,0
7083,2020/10/6,Okayama,8,149,4
7084,2020/10/6,Hiroshima,88,511,3
7085,2020/10/6,Yamaguchi,7,195,0
7086,2020/10/6,Tokushima,6,131,3
7087,2020/10/6,Kagawa,3,88,0
7088,2020/10/6,Ehime,1,108,0
7089,2020/10/6,Kochi,0,134,0
7090,2020/10/6,Fukuoka,71,4887,0
7091,2020/10/6,Saga,1,247,2
7092,2020/10/6,Kumamoto,53,563,15
7093,2020/10/6,Oita,1,155,0
7094,2020/10/6,Miyazaki,1,343,1
7095,2020/10/6,Kagoshima,25,410,7
7096,2020/10/6,Okinawa,242,2344,4
7097,2020/10/7,ALL,5056,79301,53
7098,2020/10/7,Hokkaido,174,1948,0
7099,2020/10/7,Aomori,1,35,0
7100,2020/10/7,Iwate,1,23,0
7101,2020/10/7,Miyagi,45,394,0
7102,2020/10/7,Akita,5,53,0
7103,2020/10/7,Yamagata,1,76,0
7104,2020/10/7,Fukushima,44,231,0
7105,2020/10/7,Ibaraki,49,627,0
7106,2020/10/7,Tochigi,25,418,1
7107,2020/10/7,Gunma,36,678,2
7108,2020/10/7,Saitama,333,4444,0
7109,2020/10/7,Chiba,338,3744,0
7110,2020/10/7,Tokyo,1868,24585,0
7111,2020/10/7,Kanagawa,491,6630,0
7112,2020/10/7,Niigata,3,168,0
7113,2020/10/7,Toyama,9,387,0
7114,2020/10/7,Ishikawa,23,708,0
7115,2020/10/7,Fukui,3,233,0
7116,2020/10/7,Yamanashi,13,177,0
7117,2020/10/7,Nagano,11,304,0
7118,2020/10/7,Gifu,17,604,0
7119,2020/10/7,Shizuoka,35,527,0
7120,2020/10/7,Aichi,289,5085,0
7121,2020/10/7,Mie,53,472,0
7122,2020/10/7,Shiga,15,485,0
7123,2020/10/7,Kyoto,61,1708,0
7124,2020/10/7,Osaka,451,10266,12
7125,2020/10/7,Hyogo,122,2641,0
7126,2020/10/7,Nara,18,556,0
7127,2020/10/7,Wakayama,2,233,3
7128,2020/10/7,Tottori,4,32,0
7129,2020/10/7,Shimane,0,140,0
7130,2020/10/7,Okayama,8,149,4
7131,2020/10/7,Hiroshima,83,522,4
7132,2020/10/7,Yamaguchi,7,197,0
7133,2020/10/7,Tokushima,5,131,4
7134,2020/10/7,Kagawa,1,90,0
7135,2020/10/7,Ehime,1,108,0
7136,2020/10/7,Kochi,0,134,0
7137,2020/10/7,Fukuoka,68,4894,0
7138,2020/10/7,Saga,3,247,2
7139,2020/10/7,Kumamoto,56,570,8
7140,2020/10/7,Oita,1,155,0
7141,2020/10/7,Miyazaki,1,343,1
7142,2020/10/7,Kagoshima,25,410,7
7143,2020/10/7,Okinawa,256,2357,4
7144,2020/10/8,ALL,5160,79807,58
7145,2020/10/8,Hokkaido,196,1964,0
7146,2020/10/8,Aomori,1,35,0
7147,2020/10/8,Iwate,1,23,0
7148,2020/10/8,Miyagi,53,398,0
7149,2020/10/8,Akita,5,53,0
7150,2020/10/8,Yamagata,2,76,0
7151,2020/10/8,Fukushima,54,229,0
7152,2020/10/8,Ibaraki,53,628,0
7153,2020/10/8,Tochigi,24,419,1
7154,2020/10/8,Gunma,37,679,6
7155,2020/10/8,Saitama,350,4471,0
7156,2020/10/8,Chiba,334,3787,0
7157,2020/10/8,Tokyo,1927,24773,0
7158,2020/10/8,Kanagawa,496,6688,0
7159,2020/10/8,Niigata,8,168,0
7160,2020/10/8,Toyama,9,387,0
7161,2020/10/8,Ishikawa,21,710,0
7162,2020/10/8,Fukui,4,233,0
7163,2020/10/8,Yamanashi,12,178,0
7164,2020/10/8,Nagano,12,304,0
7165,2020/10/8,Gifu,14,607,0
7166,2020/10/8,Shizuoka,30,533,0
7167,2020/10/8,Aichi,277,5112,0
7168,2020/10/8,Mie,41,487,0
7169,2020/10/8,Shiga,15,487,0
7170,2020/10/8,Kyoto,60,1713,0
7171,2020/10/8,Osaka,439,10327,12
7172,2020/10/8,Hyogo,121,2658,0
7173,2020/10/8,Nara,20,558,0
7174,2020/10/8,Wakayama,3,233,3
7175,2020/10/8,Tottori,4,32,0
7176,2020/10/8,Shimane,0,140,0
7177,2020/10/8,Okayama,8,152,2
7178,2020/10/8,Hiroshima,80,529,3
7179,2020/10/8,Yamaguchi,8,197,0
7180,2020/10/8,Tokushima,3,131,6
7181,2020/10/8,Kagawa,0,91,0
7182,2020/10/8,Ehime,1,108,0
7183,2020/10/8,Kochi,0,134,0
7184,2020/10/8,Fukuoka,71,4899,0
7185,2020/10/8,Saga,3,247,2
7186,2020/10/8,Kumamoto,56,570,8
7187,2020/10/8,Oita,1,155,0
7188,2020/10/8,Miyazaki,1,343,1
7189,2020/10/8,Kagoshima,31,413,9
7190,2020/10/8,Okinawa,273,2366,4
7191,2020/10/9,ALL,5120,80425,83
7192,2020/10/9,Hokkaido,198,1991,0
7193,2020/10/9,Aomori,1,35,0
7194,2020/10/9,Iwate,1,23,0
7195,2020/10/9,Miyagi,49,410,0
7196,2020/10/9,Akita,5,53,0
7197,2020/10/9,Yamagata,4,76,0
7198,2020/10/9,Fukushima,58,233,0
7199,2020/10/9,Ibaraki,50,633,0
7200,2020/10/9,Tochigi,23,421,2
7201,2020/10/9,Gunma,40,688,0
7202,2020/10/9,Saitama,342,4507,0
7203,2020/10/9,Chiba,328,3832,0
7204,2020/10/9,Tokyo,1913,24986,0
7205,2020/10/9,Kanagawa,496,6763,0
7206,2020/10/9,Niigata,7,169,0
7207,2020/10/9,Toyama,7,389,0
7208,2020/10/9,Ishikawa,21,712,0
7209,2020/10/9,Fukui,5,233,0
7210,2020/10/9,Yamanashi,9,182,1
7211,2020/10/9,Nagano,11,306,0
7212,2020/10/9,Gifu,13,609,0
7213,2020/10/9,Shizuoka,24,539,0
7214,2020/10/9,Aichi,268,5136,0
7215,2020/10/9,Mie,36,492,0
7216,2020/10/9,Shiga,14,489,0
7217,2020/10/9,Kyoto,63,1719,0
7218,2020/10/9,Osaka,445,10378,13
7219,2020/10/9,Hyogo,134,2672,0
7220,2020/10/9,Nara,27,559,0
7221,2020/10/9,Wakayama,8,234,3
7222,2020/10/9,Tottori,3,33,0
7223,2020/10/9,Shimane,0,140,0
7224,2020/10/9,Okayama,8,152,2
7225,2020/10/9,Hiroshima,65,547,5
7226,2020/10/9,Yamaguchi,9,197,0
7227,2020/10/9,Tokushima,0,131,9
7228,2020/10/9,Kagawa,0,91,0
7229,2020/10/9,Ehime,1,108,0
7230,2020/10/9,Kochi,0,134,0
7231,2020/10/9,Fukuoka,64,4925,11
7232,2020/10/9,Saga,3,247,2
7233,2020/10/9,Kumamoto,57,566,21
7234,2020/10/9,Oita,1,155,0
7235,2020/10/9,Miyazaki,0,344,1
7236,2020/10/9,Kagoshima,31,413,9
7237,2020/10/9,Okinawa,275,2391,4
7238,2020/10/10,ALL,5292,80893,85
7239,2020/10/10,Hokkaido,204,2012,0
7240,2020/10/10,Aomori,1,35,0
7241,2020/10/10,Iwate,1,23,0
7242,2020/10/10,Miyagi,58,414,0
7243,2020/10/10,Akita,5,53,0
7244,2020/10/10,Yamagata,4,76,0
7245,2020/10/10,Fukushima,58,240,0
7246,2020/10/10,Ibaraki,53,636,0
7247,2020/10/10,Tochigi,23,422,1
7248,2020/10/10,Gunma,44,692,0
7249,2020/10/10,Saitama,416,4533,0
7250,2020/10/10,Chiba,325,3871,0
7251,2020/10/10,Tokyo,2004,25144,0
7252,2020/10/10,Kanagawa,496,6825,0
7253,2020/10/10,Niigata,8,169,0
7254,2020/10/10,Toyama,7,389,0
7255,2020/10/10,Ishikawa,21,712,0
7256,2020/10/10,Fukui,5,233,0
7257,2020/10/10,Yamanashi,9,182,1
7258,2020/10/10,Nagano,13,306,0
7259,2020/10/10,Gifu,11,612,0
7260,2020/10/10,Shizuoka,24,539,0
7261,2020/10/10,Aichi,260,5155,0
7262,2020/10/10,Mie,31,497,0
7263,2020/10/10,Shiga,17,489,0
7264,2020/10/10,Kyoto,63,1719,0
7265,2020/10/10,Osaka,443,10430,13
7266,2020/10/10,Hyogo,137,2685,0
7267,2020/10/10,Nara,26,560,0
7268,2020/10/10,Wakayama,8,234,3
7269,2020/10/10,Tottori,3,33,0
7270,2020/10/10,Shimane,0,140,0
7271,2020/10/10,Okayama,8,152,2
7272,2020/10/10,Hiroshima,57,562,3
7273,2020/10/10,Yamaguchi,10,197,0
7274,2020/10/10,Tokushima,0,131,9
7275,2020/10/10,Kagawa,0,91,0
7276,2020/10/10,Ehime,1,108,0
7277,2020/10/10,Kochi,0,134,0
7278,2020/10/10,Fukuoka,76,4926,0
7279,2020/10/10,Saga,3,247,2
7280,2020/10/10,Kumamoto,55,574,36
7281,2020/10/10,Oita,1,155,0
7282,2020/10/10,Miyazaki,0,344,1
7283,2020/10/10,Kagoshima,31,413,9
7284,2020/10/10,Okinawa,268,2417,4
7285,2020/10/11,ALL,5443,81182,75
7286,2020/10/11,Hokkaido,211,2029,0
7287,2020/10/11,Aomori,1,35,0
7288,2020/10/11,Iwate,1,23,0
7289,2020/10/11,Miyagi,62,420,0
7290,2020/10/11,Akita,5,53,1
7291,2020/10/11,Yamagata,4,76,0
7292,2020/10/11,Fukushima,70,240,0
7293,2020/10/11,Ibaraki,53,639,0
7294,2020/10/11,Tochigi,23,424,3
7295,2020/10/11,Gunma,44,692,4
7296,2020/10/11,Saitama,407,4573,0
7297,2020/10/11,Chiba,349,3889,0
7298,2020/10/11,Tokyo,2085,25209,0
7299,2020/10/11,Kanagawa,496,6862,0
7300,2020/10/11,Niigata,10,169,0
7301,2020/10/11,Toyama,7,389,0
7302,2020/10/11,Ishikawa,21,712,0
7303,2020/10/11,Fukui,4,234,0
7304,2020/10/11,Yamanashi,9,182,1
7305,2020/10/11,Nagano,12,307,0
7306,2020/10/11,Gifu,12,612,0
7307,2020/10/11,Shizuoka,24,539,0
7308,2020/10/11,Aichi,256,5179,0
7309,2020/10/11,Mie,30,500,0
7310,2020/10/11,Shiga,16,490,0
7311,2020/10/11,Kyoto,63,1719,0
7312,2020/10/11,Osaka,470,10448,13
7313,2020/10/11,Hyogo,141,2693,0
7314,2020/10/11,Nara,27,563,0
7315,2020/10/11,Wakayama,8,234,3
7316,2020/10/11,Tottori,2,34,0
7317,2020/10/11,Shimane,0,140,0
7318,2020/10/11,Okayama,8,152,2
7319,2020/10/11,Hiroshima,55,568,1
7320,2020/10/11,Yamaguchi,10,197,0
7321,2020/10/11,Tokushima,0,131,9
7322,2020/10/11,Kagawa,1,91,0
7323,2020/10/11,Ehime,1,108,0
7324,2020/10/11,Kochi,1,134,0
7325,2020/10/11,Fukuoka,76,4926,0
7326,2020/10/11,Saga,3,247,2
7327,2020/10/11,Kumamoto,70,590,22
7328,2020/10/11,Oita,1,155,0
7329,2020/10/11,Miyazaki,0,344,1
7330,2020/10/11,Kagoshima,31,413,9
7331,2020/10/11,Okinawa,260,2436,4
7332,2020/10/12,ALL,5245,81690,91
7333,2020/10/12,Hokkaido,221,2050,0
7334,2020/10/12,Aomori,2,36,0
7335,2020/10/12,Iwate,1,23,0
7336,2020/10/12,Miyagi,57,427,0
7337,2020/10/12,Akita,6,53,0
7338,2020/10/12,Yamagata,3,77,0
7339,2020/10/12,Fukushima,70,242,0
7340,2020/10/12,Ibaraki,49,644,0
7341,2020/10/12,Tochigi,18,428,3
7342,2020/10/12,Gunma,37,703,2
7343,2020/10/12,Saitama,373,4625,0
7344,2020/10/12,Chiba,326,3923,0
7345,2020/10/12,Tokyo,2014,25358,0
7346,2020/10/12,Kanagawa,508,6878,0
7347,2020/10/12,Niigata,9,170,0
7348,2020/10/12,Toyama,4,392,0
7349,2020/10/12,Ishikawa,21,712,0
7350,2020/10/12,Fukui,4,234,0
7351,2020/10/12,Yamanashi,2,189,0
7352,2020/10/12,Nagano,9,310,0
7353,2020/10/12,Gifu,10,615,0
7354,2020/10/12,Shizuoka,13,552,0
7355,2020/10/12,Aichi,255,5193,0
7356,2020/10/12,Mie,30,505,4
7357,2020/10/12,Shiga,16,491,0
7358,2020/10/12,Kyoto,86,1738,0
7359,2020/10/12,Osaka,423,10520,13
7360,2020/10/12,Hyogo,133,2713,0
7361,2020/10/12,Nara,26,565,0
7362,2020/10/12,Wakayama,7,235,3
7363,2020/10/12,Tottori,2,34,0
7364,2020/10/12,Shimane,0,140,0
7365,2020/10/12,Okayama,8,152,2
7366,2020/10/12,Hiroshima,57,569,13
7367,2020/10/12,Yamaguchi,9,198,0
7368,2020/10/12,Tokushima,0,131,9
7369,2020/10/12,Kagawa,1,91,0
7370,2020/10/12,Ehime,1,108,0
7371,2020/10/12,Kochi,1,134,0
7372,2020/10/12,Fukuoka,69,4937,0
7373,2020/10/12,Saga,2,248,2
7374,2020/10/12,Kumamoto,70,590,22
7375,2020/10/12,Oita,1,155,0
7376,2020/10/12,Miyazaki,0,344,1
7377,2020/10/12,Kagoshima,27,428,11
7378,2020/10/12,Okinawa,261,2448,4
7379,2020/10/13,ALL,5162,82223,92
7380,2020/10/13,Hokkaido,210,2073,0
7381,2020/10/13,Aomori,2,36,0
7382,2020/10/13,Iwate,1,23,0
7383,2020/10/13,Miyagi,47,442,0
7384,2020/10/13,Akita,5,54,0
7385,2020/10/13,Yamagata,3,77,0
7386,2020/10/13,Fukushima,67,247,0
7387,2020/10/13,Ibaraki,45,648,0
7388,2020/10/13,Tochigi,15,430,2
7389,2020/10/13,Gunma,39,703,2
7390,2020/10/13,Saitama,380,4649,0
7391,2020/10/13,Chiba,325,3947,0
7392,2020/10/13,Tokyo,1974,25562,0
7393,2020/10/13,Kanagawa,515,6925,0
7394,2020/10/13,Niigata,9,170,0
7395,2020/10/13,Toyama,3,393,0
7396,2020/10/13,Ishikawa,20,715,0
7397,2020/10/13,Fukui,4,234,0
7398,2020/10/13,Yamanashi,2,189,0
7399,2020/10/13,Nagano,6,313,1
7400,2020/10/13,Gifu,9,617,0
7401,2020/10/13,Shizuoka,11,554,0
7402,2020/10/13,Aichi,238,5228,0
7403,2020/10/13,Mie,30,505,0
7404,2020/10/13,Shiga,16,494,0
7405,2020/10/13,Kyoto,93,1743,0
7406,2020/10/13,Osaka,437,10572,16
7407,2020/10/13,Hyogo,134,2720,0
7408,2020/10/13,Nara,26,568,0
7409,2020/10/13,Wakayama,10,235,3
7410,2020/10/13,Tottori,1,35,0
7411,2020/10/13,Shimane,0,140,0
7412,2020/10/13,Okayama,8,152,3
7413,2020/10/13,Hiroshima,60,577,1
7414,2020/10/13,Yamaguchi,9,198,0
7415,2020/10/13,Tokushima,0,131,9
7416,2020/10/13,Kagawa,3,91,0
7417,2020/10/13,Ehime,1,108,0
7418,2020/10/13,Kochi,1,134,0
7419,2020/10/13,Fukuoka,69,4937,0
7420,2020/10/13,Saga,3,248,2
7421,2020/10/13,Kumamoto,66,606,34
7422,2020/10/13,Oita,1,155,0
7423,2020/10/13,Miyazaki,0,344,1
7424,2020/10/13,Kagoshima,24,432,12
7425,2020/10/13,Okinawa,237,2487,4
7426,2020/10/14,ALL,5054,82899,81
7427,2020/10/14,Hokkaido,207,2096,0
7428,2020/10/14,Aomori,4,36,0
7429,2020/10/14,Iwate,2,23,0
7430,2020/10/14,Miyagi,45,452,0
7431,2020/10/14,Akita,1,58,0
7432,2020/10/14,Yamagata,3,77,0
7433,2020/10/14,Fukushima,69,250,0
7434,2020/10/14,Ibaraki,39,658,0
7435,2020/10/14,Tochigi,15,431,5
7436,2020/10/14,Gunma,37,707,0
7437,2020/10/14,Saitama,401,4674,0
7438,2020/10/14,Chiba,317,3986,0
