,Date,Prefecture,Requiring inpatient care,Discharged from hospital or released from treatment,To be confirmed
152,2020/5/12,Saitama,285,642,0
153,2020/5/12,Chiba,303,542,0
154,2020/5/12,Tokyo,1890,2901,0
155,2020/5/12,Kanagawa,404,732,0
156,2020/5/12,Niigata,31,50,1
157,2020/5/12,Toyama,101,105,0
158,2020/5/12,Ishikawa,114,150,0
159,2020/5/12,Fukui,18,96,0
160,2020/5/12,Yamanashi,7,49,0
161,2020/5/12,Nagano,25,50,0
162,2020/5/12,Gifu,17,127,0
163,2020/5/12,Shizuoka,15,57,0
164,2020/5/12,Aichi,92,369,0
165,2020/5/12,Mie,10,34,0
166,2020/5/12,Shiga,24,72,0
167,2020/5/12,Kyoto,88,251,0
168,2020/5/12,Osaka,587,1101,1
169,2020/5/12,Hyogo,148,512,0
170,2020/5/12,Nara,20,68,0
171,2020/5/12,Wakayama,10,49,1
172,2020/5/12,Tottori,2,1,0
173,2020/5/12,Shimane,12,12,0
174,2020/5/12,Okayama,6,18,1
175,2020/5/12,Hiroshima,74,89,0
176,2020/5/12,Yamaguchi,4,33,0
177,2020/5/12,Tokushima,0,4,1
178,2020/5/12,Kagawa,7,21,0
179,2020/5/12,Ehime,6,39,0
180,2020/5/12,Kochi,6,65,0
181,2020/5/12,Fukuoka,153,477,1
182,2020/5/12,Saga,20,23,2
183,2020/5/12,Kumamoto,21,24,0
184,2020/5/12,Oita,5,54,0
185,2020/5/12,Miyazaki,5,12,0
186,2020/5/12,Kagoshima,3,8,0
187,2020/5/12,Okinawa,30,106,0
188,2020/5/13,ALL,4732,10321,169
189,2020/5/13,Hokkaido,409,502,0
190,2020/5/13,Aomori,6,21,0
191,2020/5/13,Iwate,0,0,0
192,2020/5/13,Miyagi,6,81,0
193,2020/5/13,Akita,1,15,0
194,2020/5/13,Yamagata,11,58,0
195,2020/5/13,Fukushima,24,57,0
196,2020/5/13,Ibaraki,47,94,18
197,2020/5/13,Tochigi,18,38,1
198,2020/5/13,Gunma,53,76,0
199,2020/5/13,Saitama,255,674,0
200,2020/5/13,Chiba,278,570,0
201,2020/5/13,Tokyo,1755,3039,0
202,2020/5/13,Kanagawa,376,768,0
203,2020/5/13,Niigata,30,51,1
204,2020/5/13,Toyama,84,122,0
205,2020/5/13,Ishikawa,113,152,0
206,2020/5/13,Fukui,16,98,0
207,2020/5/13,Yamanashi,6,51,0
208,2020/5/13,Nagano,25,51,0
209,2020/5/13,Gifu,13,131,0
210,2020/5/13,Shizuoka,12,60,0
211,2020/5/13,Aichi,85,377,0
212,2020/5/13,Mie,10,34,0
213,2020/5/13,Shiga,20,76,0
214,2020/5/13,Kyoto,74,269,0
215,2020/5/13,Osaka,510,1176,2
216,2020/5/13,Hyogo,138,521,0
217,2020/5/13,Nara,18,70,0
218,2020/5/13,Wakayama,10,50,0
219,2020/5/13,Tottori,2,1,0
220,2020/5/13,Shimane,10,14,0
221,2020/5/13,Okayama,4,21,0
222,2020/5/13,Hiroshima,71,92,0
223,2020/5/13,Yamaguchi,4,33,0
224,2020/5/13,Tokushima,0,4,1
225,2020/5/13,Kagawa,6,22,0
226,2020/5/13,Ehime,9,39,0
227,2020/5/13,Kochi,5,66,0
228,2020/5/13,Fukuoka,137,494,1
229,2020/5/13,Saga,17,27,2
230,2020/5/13,Kumamoto,20,25,0
231,2020/5/13,Oita,4,55,0
232,2020/5/13,Miyazaki,5,12,0
233,2020/5/13,Kagoshima,3,8,0
234,2020/5/13,Okinawa,25,111,0
235,2020/5/14,ALL,4339,10792,182
236,2020/5/14,Hokkaido,394,519,0
237,2020/5/14,Aomori,6,21,0
238,2020/5/14,Iwate,0,0,0
239,2020/5/14,Miyagi,5,82,0
240,2020/5/14,Akita,1,15,0
241,2020/5/14,Yamagata,11,58,0
242,2020/5/14,Fukushima,23,58,0
243,2020/5/14,Ibaraki,44,98,17
244,2020/5/14,Tochigi,18,39,0
245,2020/5/14,Gunma,47,82,0
246,2020/5/14,Saitama,241,691,0
247,2020/5/14,Chiba,244,604,0
248,2020/5/14,Tokyo,1583,3232,0
249,2020/5/14,Kanagawa,366,808,0
250,2020/5/14,Niigata,30,51,1
251,2020/5/14,Toyama,80,126,0
252,2020/5/14,Ishikawa,105,159,0
253,2020/5/14,Fukui,16,98,0
254,2020/5/14,Yamanashi,6,51,0
255,2020/5/14,Nagano,25,51,0
256,2020/5/14,Gifu,11,132,0
257,2020/5/14,Shizuoka,11,61,0
258,2020/5/14,Aichi,75,388,4
259,2020/5/14,Mie,8,36,0
260,2020/5/14,Shiga,19,77,0
261,2020/5/14,Kyoto,67,277,0
262,2020/5/14,Osaka,462,1228,12
263,2020/5/14,Hyogo,121,539,0
264,2020/5/14,Nara,14,74,0
265,2020/5/14,Wakayama,8,52,0
266,2020/5/14,Tottori,2,1,0
267,2020/5/14,Shimane,9,15,0
268,2020/5/14,Okayama,4,21,0
269,2020/5/14,Hiroshima,56,107,0
270,2020/5/14,Yamaguchi,4,33,0
271,2020/5/14,Tokushima,0,4,1
272,2020/5/14,Kagawa,2,26,0
273,2020/5/14,Ehime,25,40,0
274,2020/5/14,Kochi,5,66,0
275,2020/5/14,Fukuoka,121,510,1
276,2020/5/14,Saga,17,27,2
277,2020/5/14,Kumamoto,14,31,0
278,2020/5/14,Oita,3,55,1
279,2020/5/14,Miyazaki,5,12,0
280,2020/5/14,Kagoshima,3,7,0
281,2020/5/14,Okinawa,21,115,0
282,2020/5/15,ALL,4025,11136,181
283,2020/5/15,Hokkaido,389,528,0
284,2020/5/15,Aomori,5,21,1
285,2020/5/15,Iwate,0,0,0
286,2020/5/15,Miyagi,5,82,0
287,2020/5/15,Akita,1,15,0
288,2020/5/15,Yamagata,11,58,0
289,2020/5/15,Fukushima,20,61,0
290,2020/5/15,Ibaraki,38,105,16
291,2020/5/15,Tochigi,18,40,0
292,2020/5/15,Gunma,47,82,0
293,2020/5/15,Saitama,204,730,0
294,2020/5/15,Chiba,218,627,3
295,2020/5/15,Tokyo,1431,3386,0
296,2020/5/15,Kanagawa,379,809,0
297,2020/5/15,Niigata,22,60,1
298,2020/5/15,Toyama,69,137,0
299,2020/5/15,Ishikawa,99,166,0
300,2020/5/15,Fukui,15,99,0
301,2020/5/15,Yamanashi,6,51,0
302,2020/5/15,Nagano,24,52,0
303,2020/5/15,Gifu,10,133,0
304,2020/5/15,Shizuoka,6,66,0
305,2020/5/15,Aichi,74,390,5
306,2020/5/15,Mie,7,37,0
307,2020/5/15,Shiga,20,77,0
308,2020/5/15,Kyoto,62,283,0
309,2020/5/15,Osaka,434,1256,9
310,2020/5/15,Hyogo,113,548,0
311,2020/5/15,Nara,12,76,0
312,2020/5/15,Wakayama,8,52,0
313,2020/5/15,Tottori,2,1,0
314,2020/5/15,Shimane,8,16,0
315,2020/5/15,Okayama,2,23,0
316,2020/5/15,Hiroshima,52,111,0
317,2020/5/15,Yamaguchi,4,33,0
318,2020/5/15,Tokushima,0,4,1
319,2020/5/15,Kagawa,2,26,0
320,2020/5/15,Ehime,26,41,0
321,2020/5/15,Kochi,5,66,0
322,2020/5/15,Fukuoka,110,522,0
323,2020/5/15,Saga,15,29,2
324,2020/5/15,Kumamoto,14,31,0
325,2020/5/15,Oita,3,56,0
326,2020/5/15,Miyazaki,4,13,0
327,2020/5/15,Kagoshima,3,7,0
328,2020/5/15,Okinawa,21,115,0
329,2020/5/16,ALL,3787,11398,184
330,2020/5/16,Hokkaido,366,560,0
331,2020/5/16,Aomori,5,21,1
332,2020/5/16,Iwate,0,0,0
333,2020/5/16,Miyagi,3,84,0
334,2020/5/16,Akita,1,15,0
335,2020/5/16,Yamagata,11,58,0
336,2020/5/16,Fukushima,18,63,0
337,2020/5/16,Ibaraki,30,111,18
338,2020/5/16,Tochigi,18,40,2
339,2020/5/16,Gunma,36,93,0
340,2020/5/16,Saitama,196,742,0
341,2020/5/16,Chiba,204,649,3
342,2020/5/16,Tokyo,1346,3474,0
343,2020/5/16,Kanagawa,379,809,0
344,2020/5/16,Niigata,22,60,1
345,2020/5/16,Toyama,51,156,0
346,2020/5/16,Ishikawa,95,170,0
347,2020/5/16,Fukui,12,102,0
348,2020/5/16,Yamanashi,6,51,0
349,2020/5/16,Nagano,24,52,0
350,2020/5/16,Gifu,9,134,0
